ath_gene	osa_gene
AT1G22660	Os12g0171200
AT3G46100	Os02g0754700
AT1G66345	Os01g0170800
AT3G15390	Os02g0639700
AT1G45150	Os07g0581300
AT5G47040	Os09g0533400
AT3G44530	Os09g0567700
AT5G41950	Os03g0113800
AT1G02850	Os05g0366600
AT2G39090	Os05g0149900
AT1G79490	Os04g0612800
AT3G11760	Os03g0649000
AT2G04550	Os06g0308100
AT4G11800	Os07g0106000
AT5G43100	Os07g0592200
AT3G26740	Os01g0102900
AT3G13750	Os01g0580200
AT2G39670	Os01g0973400
AT5G17250	Os10g0170300
AT1G28510	Os01g0242300
AT5G49410	Os08g0360000
AT5G08400	Os02g0827600
AT5G51020	Os11g0524300
AT5G43960	Os02g0131700
AT3G29400	Os01g0763750
AT4G00300	Os03g0124300
AT1G18030	Os09g0314400
AT5G09850	Os12g0165700
AT5G66330	Os02g0647300
AT1G79690	Os02g0793300
AT5G54580	Os07g0549800
AT1G29680	Os01g0728700
AT2G20740	Os04g0679900
AT4G16710	Os02g0467700
AT1G22050	Os02g0750600
AT4G23840	Os05g0212200
AT3G58530	Os02g0281150
AT5G46160	Os12g0616200
AT2G43370	Os09g0513700
AT2G38650	Os03g0330000
AT1G54390	Os03g0748200
AT3G66654	Os07g0476500
AT4G17000	Os03g0770900
AT1G49590	Os06g0215200
AT2G35730	Os01g0927300
AT5G56460	Os03g0159100
AT2G40120	Os05g0466900
AT1G79070	Os08g0129900
AT4G21445	Os04g0635700
AT4G20325	Os04g0476400
AT2G18390	Os02g0327100
AT1G74920	Os08g0424500
AT3G49725	Os03g0727900
AT4G35250	Os08g0553800
AT1G08130	Os10g0489200
AT1G80190	Os05g0453900
AT2G39470	Os03g0279950
AT4G15880	Os01g0355900
AT2G47300	Os11g0677500
AT2G45270	Os01g0295900
AT4G35790	Os09g0543100
AT1G56310	Os05g0357100
AT1G31650	Os02g0702600
AT1G58340	Os03g0229500
AT2G24280	Os06g0647400
AT4G09750	Os06g0590301
AT5G57670	Os08g0249100
AT4G17020	Os04g0680000
AT2G20330	Os10g0464100
AT4G31360	Os11g0704000
AT5G11580	Os01g0725600
AT3G49250	Os01g0235200
AT4G13690	Os10g0473950
AT1G74900	Os02g0679200
AT5G57800	Os09g0426800
AT3G29075	Os02g0743600
AT3G56870	Os03g0594700
AT2G37110	Os01g0157900
AT1G22460	Os06g0219400
AT5G57090	Os06g0660200
AT5G06530	Os03g0157400
AT5G11700	Os01g0187400
AT4G13070	Os06g0304500
AT1G71240	Os01g0869000
AT4G14790	Os03g0746500
AT4G27640	Os03g0261900
AT5G46920	Os10g0567500
AT5G53620	Os08g0543600
AT3G13700	Os06g0151200
AT5G44240	Os11g0446500
AT5G08450	Os07g0477500
AT3G24170	Os02g0813500
AT3G16270	Os01g0232400
AT3G19553	Os12g0580400
AT3G45180	Os11g0145400
AT5G46840	Os03g0854300
AT4G00350	Os08g0562800
AT4G16470	Os06g0625800
AT5G40520	Os09g0103200
AT2G04780	Os09g0482780
AT4G02560	Os01g0934300
AT4G21150	Os01g0911200
AT2G46560	Os01g0551900
AT3G47640	Os07g0628500
AT5G15550	Os07g0600400
AT5G14050	Os07g0603200
AT3G55480	Os01g0973300
AT1G02090	Os07g0490800
AT3G28670	Os08g0101400
AT5G53450	Os01g0655500
AT1G67730	Os04g0483500
AT1G35680	Os02g0259600
AT2G39710	Os03g0271900
AT5G64040	Os12g0189400
AT4G00570	Os10g0503500
AT1G14310	Os08g0169800
AT5G65540	Os03g0802300
AT5G19440	Os01g0528800
AT5G64170	Os03g0387900
AT4G22300	Os04g0669500
AT5G53060	Os06g0342500
AT1G77330	Os05g0149400
AT5G14460	Os05g0108000
AT3G04950	Os06g0298500
AT1G76240	Os06g0725500
AT5G41920	Os07g0567700
AT5G37510	Os03g0713400
AT3G17770	Os03g0719300
AT5G01530	Os07g0558400
AT4G00231	Os03g0118900
AT1G51310	Os03g0174600
AT5G09820	Os04g0422000
AT1G66230	Os09g0401000
AT3G14075	Os02g0780700
AT5G40500	Os04g0482900
AT5G35460	Os01g0585100
AT3G10030	Os04g0405800
AT5G51050	Os06g0604500
AT1G23230	Os02g0732700
AT1G60140	Os08g0414700
AT5G08060	Os01g0763300
AT1G20850	Os05g0108600
AT3G19990	Os02g0828200
AT1G51580	Os09g0498600
AT1G50430	Os02g0465400
AT3G27180	Os01g0920300
AT3G12910	Os03g0777000
AT1G68220	Os08g0261100
AT3G51780	Os01g0831200
AT2G47470	Os01g0339900
AT1G68010	Os02g0101500
AT3G15095	Os06g0352900
ATCG00040	Os11g0517350
AT1G01960	Os03g0246800
AT3G52040	Os01g0271700
AT2G04620	Os08g0422200
AT3G17880	Os09g0401200
AT1G03950	Os10g0476400
AT3G51500	Os02g0193500
AT1G18335	Os05g0387800
AT4G32730	Os12g0238000
AT3G01180	Os02g0744700
AT5G55760	Os04g0271000
AT1G09815	Os09g0520100
AT1G35720	Os06g0221200
AT1G20300	Os09g0542800
AT4G34410	Os09g0457900
AT5G20250	Os06g0172800
AT1G09010	Os05g0391500
AT5G64230	Os02g0754600
AT2G43400	Os10g0516300
AT1G75100	Os03g0198300
AT3G51520	Os06g0326700
AT4G00800	Os02g0124700
AT1G09220	Os01g0815900
AT1G15080	Os08g0359200
AT1G51720	Os01g0558200
AT1G13870	Os11g0312340
AT2G41020	Os01g0916300
AT3G52170	Os12g0528000
AT1G66170	Os03g0716200
AT5G02220	Os01g0843700
AT5G05920	Os03g0740600
AT1G47740	Os03g0198500
AT5G44030	Os10g0467800
AT2G36980	Os09g0520300
AT1G68200	Os05g0576300
AT1G53270	Os01g0615500
AT5G11680	Os09g0512900
AT1G17665	Os01g0197400
AT4G13590	Os11g0544500
AT4G15770	Os07g0670600
AT3G25970	Os08g0375800
AT1G73980	Os02g0708200
AT2G47710	Os12g0552500
AT3G20260	Os08g0519600
AT3G56500	Os03g0322200
AT3G19230	Os03g0184400
AT5G08520	Os04g0676700
AT4G33670	Os12g0482700
AT5G05840	Os03g0267500
AT5G48930	Os04g0500700
AT3G10915	Os03g0336600
AT2G26770	Os01g0805700
AT1G78560	Os04g0381100
AT3G62580	Os12g0557400
AT4G27540	Os09g0134400
AT1G44900	Os11g0484300
AT1G62780	Os04g0105700
AT1G11050	Os05g0423500
AT5G52440	Os11g0580800
AT2G46890	Os04g0105300
AT1G06960	Os03g0298800
AT1G67950	Os03g0713600
AT2G30700	Os10g0534100
AT5G11310	Os01g0506100
AT4G33090	Os02g0218200
AT1G61040	Os12g0535900
AT2G46000	Os03g0148300
AT1G73430	Os08g0451000
AT3G58630	Os05g0560600
AT2G45130	Os03g0406100
AT2G44810	Os11g0146600
AT2G38550	Os01g0821700
AT2G46020	Os02g0114033
AT4G02020	Os03g0307800
AT5G15400	Os03g0427900
AT1G72275	Os04g0644200
AT1G44920	Os03g0729100
AT2G31980	Os01g0915200
AT5G62270	Os01g0801700
AT4G19980	Os06g0666800
AT1G24706	Os01g0916800
AT1G30950	Os06g0665400
AT5G54680	Os07g0543000
AT1G05030	Os09g0394500
AT1G55370	Os03g0748300
AT5G49510	Os12g0562900
AT4G20050	Os04g0613200
AT5G54310	Os07g0563800
AT1G28410	Os02g0305600
AT5G22580	Os11g0150400
AT5G42070	Os01g0235100
AT2G38370	Os03g0339700
AT2G43650	Os01g0104800
AT1G62520	Os10g0554001
AT4G37870	Os03g0255500
AT3G03630	Os01g0814800
AT1G56720	Os01g0323000
AT1G54050	Os02g0782500
AT2G41945	Os06g0206200
AT1G72610	Os08g0460000
AT3G54130	Os01g0851400
AT5G61830	Os01g0929500
AT1G63440	Os04g0556000
AT2G18050	Os04g0253000
AT1G29700	Os12g0641300
AT3G52905	Os01g0764700
AT3G57280	Os04g0470300
AT2G19490	Os01g0901200
AT1G11660	Os06g0679800
AT2G41460	Os01g0801000
AT5G67030	Os04g0448900
AT1G16210	Os04g0561600
AT1G28380	Os05g0557400
AT1G33390	Os02g0736600
AT1G07970	Os03g0288800
AT5G13080	Os11g0490900
AT1G14810	Os03g0760700
AT1G15130	Os10g0495300
AT3G60220	Os04g0586700
AT1G14750	Os03g0225200
AT5G52190	Os04g0568600
AT5G62760	Os02g0215000
AT5G20200	Os03g0788250
AT2G03810	Os04g0467100
AT1G48050	Os03g0856200
AT1G30840	Os01g0680200
AT2G39570	Os05g0113000
AT4G11570	Os09g0569100
AT5G44180	Os05g0562400
AT1G74730	Os01g0585300
AT1G26640	Os01g0764600
AT5G48310	Os02g0198400
AT1G75150	Os03g0809400
AT2G35920	Os10g0471350
AT4G00850	Os12g0496900
AT1G03920	Os10g0476100
AT1G49405	Os03g0767900
AT3G08560	Os05g0480700
AT1G27150	Os03g0689900
AT4G34260	Os10g0339600
AT3G27030	Os02g0509500
AT1G67840	Os12g0292900
AT2G43060	Os04g0660100
AT1G03900	Os10g0476000
AT4G33470	Os12g0182700
AT2G35900	Os01g0771200
AT1G08760	Os08g0541500
AT3G51550	Os01g0769700
AT1G59640	Os03g0802900
AT1G17850	Os03g0861700
AT5G11480	Os01g0732200
AT1G03160	Os05g0390100
AT4G37420	Os06g0727900
AT2G26260	Os03g0405000
AT2G21610	Os01g0634600
AT1G74340	Os11g0311550
AT5G05950	Os07g0240400
AT5G02250	Os01g0841800
AT2G24860	Os09g0423700
AT2G47940	Os05g0147500
AT5G06430	Os11g0592900
AT4G10970	Os08g0374200
AT1G53760	Os02g0152600
AT4G36690	Os11g0636900
AT2G38780	Os05g0381500
AT2G25570	Os02g0202600
AT1G63970	Os02g0680600
AT2G18890	Os04g0654600
AT5G08550	Os03g0853700
AT1G19110	Os03g0407000
AT2G44580	Os05g0119600
AT2G41475	Os01g0172800
AT2G28190	Os08g0561700
AT1G05180	Os03g0820100
AT2G14045	Os07g0185800
AT2G33180	Os09g0481800
AT1G56290	Os03g0740700
AT4G16570	Os06g0105500
AT2G47820	Os07g0568200
AT1G21640	Os11g0191400
AT1G29810	Os01g0663500
AT5G22750	Os02g0527100
AT4G02715	Os03g0160200
AT5G15450	Os03g0426900
AT5G08370	Os10g0493600
AT5G58030	Os01g0708600
AT4G37650	Os07g0586900
AT4G02460	Os02g0592300
AT5G49880	Os01g0877300
AT2G38500	Os01g0823400
AT5G60410	Os05g0125000
AT3G05100	Os07g0667400
AT5G53550	Os04g0542200
AT1G70760	Os05g0348100
AT3G02260	Os09g0247700
AT3G55580	Os05g0456925
AT1G11000	Os11g0181400
AT3G56370	Os03g0335500
AT5G19540	Os08g0387500
AT5G50960	Os04g0485400
AT5G57300	Os01g0976600
AT4G09680	Os09g0376000
AT5G52970	Os07g0534000
AT4G02050	Os09g0416200
AT1G31780	Os03g0225600
AT1G60360	Os02g0767600
AT1G67900	Os04g0477000
AT5G50100	Os04g0668800
AT5G35560	Os02g0777100
AT5G40400	Os01g0546700
AT2G36630	Os03g0726500
AT4G33467	Os12g0187800
AT3G62810	Os05g0363600
AT1G79280	Os02g0741500
AT1G54210	Os06g0205000
AT5G39040	Os03g0755100
AT3G25440	Os04g0492900
AT1G31500	Os05g0389500
AT2G29900	Os03g0603800
AT5G01930	Os05g0319100
AT1G49170	Os04g0686300
AT1G67400	Os11g0483900
AT5G03080	Os03g0288700
AT2G44530	Os03g0100040
AT2G38730	Os03g0811600
AT4G02120	Os12g0556600
AT1G54150	Os03g0177300
AT3G25940	Os03g0711700
AT4G10465	Os03g0120400
AT3G55530	Os03g0272300
AT1G03650	Os10g0500400
AT3G20910	Os03g0696300
AT5G19300	Os04g0244500
AT4G10710	Os04g0321600
AT5G61510	Os03g0101600
AT4G01570	Os03g0712900
AT1G61690	Os03g0669800
AT5G47360	Os03g0225300
AT4G20150	Os07g0498300
AT3G12380	Os01g0144340
AT4G33640	Os03g0690000
AT5G49830	Os07g0200000
AT1G27660	Os01g0105700
AT1G80350	Os01g0683100
AT2G36310	Os08g0557900
AT3G52860	Os05g0154900
AT1G75660	Os01g0872700
AT2G13290	Os12g0611900
AT4G00026	Os03g0253800
AT1G31730	Os01g0916200
AT3G07510	Os10g0178200
AT1G26470	Os05g0512500
AT5G19320	Os05g0543200
AT1G16445	Os05g0511700
AT4G24680	Os12g0566200
AT1G47410	Os09g0460100
AT1G21710	Os02g0552600
AT3G21510	Os08g0557700
AT2G46100	Os04g0578200
AT2G26330	Os06g0203800
AT2G04900	Os03g0751000
AT5G12250	Os01g0805900
AT1G49040	Os01g0575500
AT1G04290	Os04g0436100
AT1G55340	Os05g0541700
AT1G79230	Os12g0608600
AT1G67420	Os07g0295800
AT2G04160	Os09g0479900
AT4G07390	Os07g0479200
AT1G43700	Os11g0160500
AT5G11980	Os12g0538300
AT5G13030	Os06g0320700
AT5G10720	Os06g0654300
AT1G48100	Os01g0329300
AT1G23070	Os03g0406900
AT5G02110	Os11g0706801
AT3G12260	Os07g0640100
AT1G17640	Os02g0221500
AT4G21390	Os07g0551300
AT3G24590	Os02g0267000
AT5G24300	Os06g0160700
AT4G03280	Os07g0556200
AT1G43580	Os04g0423700
AT2G28470	Os03g0255100
AT1G59710	Os03g0801900
AT3G02330	Os10g0558600
AT3G52070	Os03g0217000
AT4G37920	Os01g0306800
AT2G41120	Os11g0130200
AT5G05450	Os01g0164500
ATCG00070	Os11g0592350
AT3G25800	Os09g0249700
AT1G66140	Os03g0239300
AT5G04560	Os01g0218032
AT4G30360	Os02g0789100
AT4G32272	Os02g0614100
AT3G52140	Os02g0717400
AT1G64380	Os05g0572000
AT5G38460	Os07g0164500
AT1G60230	Os01g0640800
AT5G45290	Os05g0389600
AT1G63850	Os04g0579700
AT5G54980	Os02g0219900
AT3G63510	Os04g0278900
AT3G15120	Os01g0668300
AT5G24320	Os03g0115400
AT5G10700	Os04g0605200
AT1G75210	Os03g0774300
AT5G65090	Os02g0751900
AT2G43950	Os02g0608900
AT1G10390	Os12g0165900
AT1G74520	Os06g0226600
AT4G35987	Os03g0243800
AT3G43520	Os04g0653100
AT3G07880	Os02g0719000
AT2G30530	Os05g0315200
AT2G46150	Os02g0265800
AT4G01395	Os02g0456000
AT4G16566	Os04g0535400
AT2G34357	Os02g0782100
AT5G38660	Os08g0359000
AT5G12200	Os01g0807900
AT4G38010	Os04g0488200
AT3G05210	Os10g0518900
AT1G30450	Os08g0323700
AT1G73930	Os03g0259700
AT4G38220	Os08g0511900
AT5G50890	Os01g0751600
AT1G67060	Os02g0221600
AT5G15900	Os01g0652800
AT1G06050	Os08g0152600
AT4G01320	Os02g0680400
AT4G28030	Os08g0260000
AT1G18265	Os04g0463200
AT1G63940	Os08g0151800
AT3G05675	Os07g0668800
AT4G31990	Os02g0797500
AT1G62730	Os06g0104100
AT1G26940	Os11g0602900
AT1G07090	Os01g0828900
AT5G06680	Os09g0446200
AT2G40390	Os01g0165100
AT1G03620	Os04g0101700
AT5G53340	Os08g0386700
AT3G52490	Os04g0416500
AT1G19220	Os02g0141100
AT3G04780	Os03g0795500
AT4G10800	Os06g0129200
AT4G25270	Os03g0852700
AT1G54100	Os09g0440300
AT1G03600	Os03g0333400
AT5G48430	Os01g0937200
AT4G20960	Os03g0117200
AT5G19350	Os03g0174100
AT2G16385	Os01g0260800
AT2G02880	Os03g0379400
AT4G22970	Os02g0770700
AT2G28800	Os01g0151200
AT3G25470	Os11g0247400
AT5G40950	Os01g0924000
AT4G10090	Os03g0284000
AT5G19570	Os05g0188300
AT1G11120	Os07g0565500
AT4G38200	Os06g0622800
AT5G50210	Os12g0290150
AT3G04500	Os08g0567200
AT3G57230	Os02g0579600
AT5G12010	Os01g0582600
AT5G15920	Os05g0596600
AT1G04700	Os12g0594300
AT1G62340	Os04g0543700
AT1G32070	Os05g0481000
AT5G58130	Os02g0138200
AT1G17440	Os01g0846900
AT5G12220	Os12g0189900
AT3G05890	Os07g0635900
AT3G46560	Os12g0571200
AT1G12350	Os02g0575200
AT1G30870	Os07g0499500
AT3G20330	Os08g0248800
AT5G10810	Os04g0499200
AT2G17033	Os02g0120000
AT4G24480	Os04g0610900
AT2G34560	Os01g0673500
AT5G10750	Os06g0698500
AT5G52820	Os11g0594200
AT3G51730	Os01g0166700
AT5G20110	Os01g0555600
AT5G60740	Os11g0416900
AT1G50480	Os09g0446800
AT4G22190	Os11g0497350
AT1G64770	Os03g0158300
AT4G31040	Os08g0224300
AT5G01310	Os03g0293400
AT1G59820	Os10g0412000
AT1G67620	Os12g0241100
AT1G18270	Os06g0258900
AT2G36480	Os09g0566100
AT2G15560	Os08g0230500
AT5G16630	Os08g0427500
AT1G47380	Os02g0567200
AT4G32780	Os01g0231600
AT1G76080	Os07g0476900
AT1G26090	Os02g0711200
AT5G27680	Os05g0150600
AT5G46550	Os07g0507700
AT4G24930	Os01g0102300
AT5G24350	Os12g0233600
AT3G15150	Os05g0563500
AT1G30620	Os07g0139400
AT5G45700	Os05g0205100
AT2G26910	Os01g0177900
AT3G50420	Os04g0672700
AT3G14730	Os01g0818200
AT5G23880	Os09g0569400
AT5G67130	Os09g0115600
AT1G20540	Os08g0554000
AT5G38890	Os02g0815800
AT1G25510	Os01g0140100
AT3G20740	Os08g0137100
AT4G33440	Os08g0107300
AT2G36930	Os08g0564500
AT5G52800	Os07g0467900
AT5G45580	Os02g0700300
AT1G27460	Os03g0200600
AT4G34910	Os03g0728800
AT3G26085	Os05g0295200
AT2G35450	Os04g0391900
AT1G35530	Os11g0180600
AT3G18390	Os05g0551900
AT1G67500	Os07g0669000
AT5G45310	Os01g0962100
AT1G78150	Os07g0623600
AT2G38920	Os03g0650900
AT3G46210	Os03g0854200
AT5G63200	Os01g0906600
AT5G52570	Os03g0125100
AT5G14100	Os11g0490800
AT3G57990	Os09g0491676
AT5G19940	Os04g0607000
AT5G25590	Os05g0394200
AT2G02410	Os03g0843200
AT5G05365	Os01g0826000
AT2G39190	Os02g0805800
AT1G30520	Os08g0130400
AT5G01720	Os12g0108500
AT3G02830	Os11g0472000
AT5G61410	Os03g0169100
AT4G01470	Os01g0975900
AT1G27752	Os03g0205000
AT4G22540	Os08g0154900
AT1G12940	Os01g0704100
AT1G10020	Os07g0133500
AT5G18600	Os01g0368900
AT2G03630	Os07g0298100
AT3G19490	Os09g0109800
AT1G71760	Os01g0716300
AT1G52220	Os01g0761000
AT5G35100	Os08g0292600
AT3G59770	Os01g0355600
AT5G20635	Os09g0441900
AT4G32620	Os01g0179500
AT5G27720	Os01g0256900
AT2G31290	Os06g0265900
AT1G75390	Os02g0132500
AT1G10095	Os01g0684800
AT3G56950	Os03g0320000
AT1G15240	Os05g0583500
AT1G12244	Os10g0555200
AT5G45680	Os06g0663800
AT4G11640	Os04g0555900
AT4G16970	Os10g0563500
AT1G27390	Os01g0921600
AT1G55900	Os01g0762400
AT1G77380	Os05g0424000
AT5G47690	Os06g0286351
AT5G51100	Os06g0115400
AT5G67385	Os03g0206700
AT1G47510	Os03g0626500
AT5G67270	Os10g0498900
AT3G47850	Os05g0220900
AT1G55160	Os05g0593200
AT1G20190	Os04g0228400
AT4G08330	Os01g0833400
AT5G43210	Os11g0146550
AT2G04340	Os09g0478400
AT1G70180	Os04g0465000
AT5G51960	Os11g0133900
AT2G25970	Os02g0224300
AT1G13340	Os03g0710000
AT5G63010	Os04g0507900
AT1G19485	Os01g0858000
AT5G53950	Os06g0344900
AT1G64880	Os02g0102400
AT1G23280	Os07g0270900
AT5G16530	Os01g0919800
AT1G30500	Os12g0613000
AT3G09040	Os04g0514500
AT2G33760	Os12g0181900
AT4G21210	Os07g0530600
AT4G32870	Os01g0724700
AT3G10080	Os02g0532500
AT5G63220	Os01g0164700
AT1G76760	Os01g0963400
AT4G32060	Os04g0502900
AT3G04870	Os07g0204900
AT3G17910	Os03g0200700
AT3G13226	Os04g0667900
AT1G29630	Os01g0777300
AT2G40460	Os05g0335800
AT2G35500	Os10g0577700
AT5G56120	Os08g0496600
AT3G08960	Os07g0693400
AT2G43235	Os05g0299200
AT1G80710	Os08g0282500
AT5G47860	Os04g0405600
AT2G13680	Os06g0182300
AT5G39590	Os04g0663700
AT4G01710	Os11g0557900
AT3G24490	Os01g0718900
AT5G61770	Os03g0343700
AT5G46420	Os05g0566300
AT4G26000	Os10g0564000
AT5G04050	Os06g0659200
AT3G59410	Os04g0492600
AT1G22960	Os12g0152600
AT2G15890	Os03g0765500
AT1G03780	Os07g0507200
AT1G12800	Os02g0115600
AT3G04600	Os12g0540900
AT1G31175	Os07g0567500
AT4G24750	Os02g0596000
AT2G26830	Os09g0438400
AT3G07770	Os12g0514500
AT1G21350	Os07g0260300
AT4G26020	Os02g0148600
AT3G26410	Os02g0556400
AT4G25130	Os10g0563600
AT5G04460	Os02g0823300
AT3G63410	Os07g0179300
AT2G24230	Os08g0276400
AT3G58720	Os09g0344900
AT4G21660	Os02g0827300
AT4G15830	Os01g0931200
AT5G46400	Os08g0379000
AT4G14110	Os04g0428900
AT2G15020	Os03g0375200
AT5G38560	Os01g0110500
AT1G07350	Os03g0265600
AT4G23650	Os05g0585500
AT3G57170	Os05g0290300
AT3G62630	Os03g0303100
AT4G34830	Os10g0181200
AT5G39785	Os09g0413600
AT2G38840	Os07g0181700
AT5G06580	Os07g0163000
AT2G36810	Os03g0146600
AT4G16640	Os10g0557900
AT2G39970	Os03g0265300
AT3G50370	Os03g0395600
AT5G58270	Os06g0128300
AT5G56960	Os06g0570900
AT3G09925	Os10g0546100
AT1G69180	Os03g0215200
AT1G23360	Os04g0507800
AT5G19820	Os07g0575100
AT5G37830	Os01g0966000
AT1G30550	Os06g0187100
AT5G39360	Os03g0427000
AT5G58760	Os01g0141700
AT5G26790	Os03g0313800
AT1G73720	Os01g0322800
AT2G05120	Os03g0225500
AT3G26610	Os01g0549000
AT2G42820	Os01g0728150
AT1G45976	Os03g0263800
AT3G26380	Os01g0518500
AT2G20410	Os03g0860000
AT3G23250	Os02g0624300
AT5G51150	Os07g0494900
AT3G24140	Os05g0586300
AT1G64510	Os03g0843400
AT1G65295	Os11g0463700
AT3G16240	Os06g0336200
AT4G32650	Os06g0254200
AT5G08160	Os09g0372800
AT3G18210	Os01g0502400
AT3G19860	Os02g0433600
AT1G32360	Os08g0159800
AT5G03415	Os10g0440100
AT3G18020	Os07g0674300
AT3G10130	Os02g0533200
AT4G16440	Os03g0748700
AT3G47800	Os03g0381000
AT1G02640	Os11g0673200
AT3G56160	Os02g0531200
AT1G10460	Os03g0179100
AT2G40660	Os01g0821800
AT4G23060	Os04g0569900
AT3G18890	Os10g0100300
AT5G27290	Os01g0382700
AT1G73580	Os07g0108400
AT3G25570	Os02g0611200
AT3G59380	Os09g0514400
AT1G12470	Os08g0178100
AT1G74600	Os09g0413300
AT4G01940	Os03g0314700
AT5G43050	Os04g0488600
AT3G51840	Os01g0159400
AT1G80940	Os02g0793900
AT5G66380	Os03g0734700
AT5G24710	Os01g0653800
AT2G42800	Os05g0530701
AT1G06560	Os08g0365900
AT5G24850	Os06g0661800
AT4G30490	Os08g0265500
AT2G04235	Os06g0608100
AT5G59790	Os01g0839200
AT5G15730	Os06g0283300
AT5G13240	Os04g0662900
AT5G53920	Os05g0497675
AT4G27940	Os08g0386800
AT3G62980	Os05g0150500
AT2G34460	Os06g0360300
AT4G25080	Os06g0132400
AT3G18660	Os01g0880200
AT4G01897	Os03g0564200
AT5G18420	Os11g0240900
AT5G62030	Os02g0815600
AT2G17510	Os03g0129200
AT1G79040	Os08g0200300
AT1G05270	Os05g0499500
AT1G49230	Os04g0419550
AT2G28320	Os10g0479800
AT4G10320	Os06g0645400
AT4G11440	Os02g0665200
AT4G32400	Os05g0171300
AT2G39440	Os02g0168900
AT1G05385	Os03g0747700
AT3G61250	Os02g0641900
AT2G33385	Os04g0512300
AT2G40890	Os05g0494000
AT1G02970	Os02g0135300
AT3G50780	Os03g0769400
AT1G75560	Os10g0545300
AT5G09970	Os10g0403000
AT3G14900	Os04g0497900
AT5G06750	Os02g0685600
AT4G24700	Os02g0595200
AT3G28970	Os07g0631000
AT5G50390	Os08g0138600
AT4G18770	Os06g0162700
AT4G16563	Os04g0535200
AT3G50520	Os08g0476400
AT4G01800	Os01g0321300
AT3G56840	Os01g0809900
AT5G46060	Os08g0377500
AT1G80670	Os08g0176800
AT5G61380	Os02g0618200
AT4G27670	Os03g0245800
AT3G14920	Os01g0207200
AT1G03370	Os06g0297800
AT4G13040	Os02g0499000
AT1G71270	Os03g0417900
AT3G04650	Os12g0597400
AT5G04000	Os05g0496000
AT3G05390	Os06g0474300
AT5G24470	Os09g0532400
AT1G08030	Os06g0158200
AT4G27800	Os01g0552300
AT5G19850	Os07g0575800
AT5G64860	Os07g0627000
AT1G61590	Os03g0364400
AT2G45240	Os10g0508400
AT5G23260	Os02g0170300
AT5G53045	Os02g0305800
AT5G07250	Os09g0525900
AT3G03750	Os01g0772150
AT1G07320	Os03g0265400
AT3G03810	Os05g0132500
AT2G34050	Os02g0312700
AT2G40690	Os07g0229800
AT3G07810	Os11g0637700
AT1G52760	Os02g0207900
AT5G04140	Os07g0658400
AT2G35320	Os06g0110100
AT2G31410	Os02g0595400
AT3G56190	Os08g0282400
AT1G71220	Os02g0664100
ATCG00560	Os03g0667201
AT1G21370	Os04g0438500
AT3G07750	Os12g0403800
AT5G03250	Os01g0780600
AT3G47450	Os02g0104700
AT3G19210	Os02g0762800
AT3G18860	Os07g0123700
AT1G71010	Os08g0428900
AT2G39950	Os07g0100500
AT5G11330	Os06g0597600
